9 Dec,27.1,23.8,24.9,22.9,17.2,8.9,1.9,25.1,1016.0,1012.1
10 Dec,26.6,23.6,25.3,22.4,7.2,7.2,0.9,23.8,1014.6,1009.8
11 Dec,25.5,22.8,24.5,22.1,22.6,8.0,1.5,24.2,1015.0,1010.9
12 Dec,31.5,23.3,25.7,21.8,0.2,11.2,2.5,26.3,1014.4,1010.3
13 Dec,28.3,23.3,25.0,22.4,29.0,9.8,1.4,23.4,1015.0,1011.5
14 Dec,26.4,23.3,25.0,22.8,29.0,4.0,1.0,24.2,1014.8,1011.2
15 Dec,25.6,23.6,24.8,23.3,39.4,4.0,0.9,23.8,1014.1,1010.9
16 Dec,30.5,22.8,25.8,22.4,0.0,6.3,1.3,25.7,1013.7,1009.8
17 Dec,28.7,24.3,26.4,23.5,7.8,6.3,0.7,24.7,1013.7,1010.1
18 Dec,31.8,24.2,26.6,23.9,21.8,8.0,0.9,24.9,1014.6,1010.6
19 Dec,31.7,23.4,26.5,23.1,0.0,9.4,1.4,26.2,1014.8,1009.4
20 Dec,31.2,25.2,26.2,24.1,1.2,8.5,1.8,26.7,1013.7,1008.9
21 Dec,30.7,25.6,26.3,23.8,6.2,8.0,1.5,25.7,1013.5,1009.7
22 Dec,31.1,24.4,25.8,23.5,0.0,8.9,1.8,26.6,1014.7,1010.4
23 Dec,32.8,24.3,25.9,23.5,4.6,7.6,1.3,26.3,1014.8,1010.2
